[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
100% 125/125 [34:29<00:00, 16.55s/it]
{'loss': -0.0001, 'grad_norm': 0.6580637097358704, 'learning_rate': 1.936e-05, 'num_tokens': 19261.0, 'completions/mean_length': 144.3625, 'completions/min_length': 63.0, 'completions/max_length': 274.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 144.3625, 'completions/min_terminated_length': 63.0, 'completions/max_terminated_length': 274.6, 'rewards/correctness_reward_func/mean': 0.625, 'rewards/correctness_reward_func/std': 0.7415650486946106, 'rewards/format_reward_func/mean': 0.4625, 'rewards/format_reward_func/std': 0.08062257766723632, 'reward': 1.0875, 'reward_std': 0.4338216096162796, 'frac_reward_zero_std': 0.55, 'kl': 2.373653283029853e-05, 'entropy': 0.5744311168789864, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.04}
{'loss': 0.0326, 'grad_norm': 0.7641855478286743, 'learning_rate': 1.056e-05, 'num_tokens': 215589.0, 'completions/mean_length': 117.425, 'completions/min_length': 42.6, 'completions/max_length': 267.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 117.425, 'completions/min_terminated_length': 42.6, 'completions/max_terminated_length': 267.2, 'rewards/correctness_reward_func/mean': 0.65, 'rewards/correctness_reward_func/std': 0.9541953563690185, 'rewards/format_reward_func/mean': 0.45, 'rewards/format_reward_func/std': 0.13662601709365846, 'reward': 1.1, 'reward_std': 0.7440204739570617, 'frac_reward_zero_std': 0.2, 'kl': 0.0005491087511472869, 'entropy': 0.5712197691202163, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.48}
{'loss': 0.0021, 'grad_norm': 0.3040461540222168, 'learning_rate': 9.760000000000001e-06, 'num_tokens': 233085.0, 'completions/mean_length': 124.1, 'completions/min_length': 54.6, 'completions/max_length': 244.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 124.1, 'completions/min_terminated_length': 54.6, 'completions/max_terminated_length': 244.0, 'rewards/correctness_reward_func/mean': 0.525, 'rewards/correctness_reward_func/std': 0.8979014992713928, 'rewards/format_reward_func/mean': 0.46875, 'rewards/format_reward_func/std': 0.10915650427341461, 'reward': 0.99375, 'reward_std': 0.549036705493927, 'frac_reward_zero_std': 0.4, 'kl': 0.0004376087606942747, 'entropy': 0.5316050872206688, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.52}
{'loss': 0.0472, 'grad_norm': 0.7000835537910461, 'learning_rate': 8.96e-06, 'num_tokens': 251910.0, 'completions/mean_length': 142.2125, 'completions/min_length': 55.8, 'completions/max_length': 315.0, 'completions/clipped_ratio': 0.0125, 'completions/mean_terminated_length': 137.8383361816406, 'completions/min_terminated_length': 55.8, 'completions/max_terminated_length': 299.8, 'rewards/correctness_reward_func/mean': 0.4, 'rewards/correctness_reward_func/std': 0.7647374629974365, 'rewards/format_reward_func/mean': 0.4375, 'rewards/format_reward_func/std': 0.16303437054157258, 'reward': 0.8375, 'reward_std': 0.5084039449691773, 'frac_reward_zero_std': 0.3, 'kl': 0.0005482831169501878, 'entropy': 0.6940767973661423, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.56}
{'loss': 0.026, 'grad_norm': 0.4440286457538605, 'learning_rate': 8.16e-06, 'num_tokens': 270272.0, 'completions/mean_length': 130.275, 'completions/min_length': 59.0, 'completions/max_length': 238.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 130.275, 'completions/min_terminated_length': 59.0, 'completions/max_terminated_length': 238.0, 'rewards/correctness_reward_func/mean': 0.5, 'rewards/correctness_reward_func/std': 0.8365550637245178, 'rewards/format_reward_func/mean': 0.49375, 'rewards/format_reward_func/std': 0.025, 'reward': 0.99375, 'reward_std': 0.4125, 'frac_reward_zero_std': 0.55, 'kl': 0.0006686133419862017, 'entropy': 0.5153685241937638, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.6}
{'loss': -0.0315, 'grad_norm': 0.5810079574584961, 'learning_rate': 7.360000000000001e-06, 'num_tokens': 288665.0, 'completions/mean_length': 137.5125, 'completions/min_length': 59.0, 'completions/max_length': 247.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 137.5125, 'completions/min_terminated_length': 59.0, 'completions/max_terminated_length': 247.6, 'rewards/correctness_reward_func/mean': 0.35, 'rewards/correctness_reward_func/std': 0.7316160321235656, 'rewards/format_reward_func/mean': 0.475, 'rewards/format_reward_func/std': 0.1, 'reward': 0.825, 'reward_std': 0.4006689190864563, 'frac_reward_zero_std': 0.5, 'kl': 0.0006409365276340395, 'entropy': 0.5457613572478295, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.64}
{'loss': 0.0332, 'grad_norm': 0.5664302706718445, 'learning_rate': 6.560000000000001e-06, 'num_tokens': 307319.0, 'completions/mean_length': 131.125, 'completions/min_length': 50.0, 'completions/max_length': 290.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 131.125, 'completions/min_terminated_length': 50.0, 'completions/max_terminated_length': 290.8, 'rewards/correctness_reward_func/mean': 0.425, 'rewards/correctness_reward_func/std': 0.7231014609336853, 'rewards/format_reward_func/mean': 0.475, 'rewards/format_reward_func/std': 0.1, 'reward': 0.9, 'reward_std': 0.5238739967346191, 'frac_reward_zero_std': 0.4, 'kl': 0.0006525770018924959, 'entropy': 0.6570506207644939, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.68}
{'loss': 0.0372, 'grad_norm': 0.8195064663887024, 'learning_rate': 5.76e-06, 'num_tokens': 324933.0, 'completions/mean_length': 127.525, 'completions/min_length': 68.6, 'completions/max_length': 249.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 127.525, 'completions/min_terminated_length': 68.6, 'completions/max_terminated_length': 249.4, 'rewards/correctness_reward_func/mean': 0.65, 'rewards/correctness_reward_func/std': 0.899234664440155, 'rewards/format_reward_func/mean': 0.475, 'rewards/format_reward_func/std': 0.08415650427341462, 'reward': 1.125, 'reward_std': 0.7539178013801575, 'frac_reward_zero_std': 0.2, 'kl': 0.0006632783406530507, 'entropy': 0.5076190933585167, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.72}
{'loss': 0.0138, 'grad_norm': 0.8717930316925049, 'learning_rate': 4.960000000000001e-06, 'num_tokens': 343257.0, 'completions/mean_length': 134.0, 'completions/min_length': 58.4, 'completions/max_length': 271.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 134.0, 'completions/min_terminated_length': 58.4, 'completions/max_terminated_length': 271.8, 'rewards/correctness_reward_func/mean': 0.3, 'rewards/correctness_reward_func/std': 0.7133826375007629, 'rewards/format_reward_func/mean': 0.4625, 'rewards/format_reward_func/std': 0.09472136199474335, 'reward': 0.7625, 'reward_std': 0.4763378381729126, 'frac_reward_zero_std': 0.4, 'kl': 0.0007578287084470503, 'entropy': 0.6044930204749107, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.76}
{'loss': 0.0804, 'grad_norm': 1.2224644422531128, 'learning_rate': 4.16e-06, 'num_tokens': 360098.0, 'completions/mean_length': 119.5125, 'completions/min_length': 59.0, 'completions/max_length': 294.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 119.5125, 'completions/min_terminated_length': 59.0, 'completions/max_terminated_length': 294.6, 'rewards/correctness_reward_func/mean': 0.65, 'rewards/correctness_reward_func/std': 0.7054611682891846, 'rewards/format_reward_func/mean': 0.475, 'rewards/format_reward_func/std': 0.08415650427341462, 'reward': 1.125, 'reward_std': 0.5584039449691772, 'frac_reward_zero_std': 0.4, 'kl': 0.0007585430576000363, 'entropy': 0.46459723114967344, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.8}
{'loss': 0.0349, 'grad_norm': 0.5107449889183044, 'learning_rate': 3.3600000000000004e-06, 'num_tokens': 379016.0, 'completions/mean_length': 137.175, 'completions/min_length': 61.2, 'completions/max_length': 302.8, 'completions/clipped_ratio': 0.0125, 'completions/mean_terminated_length': 132.4308349609375, 'completions/min_terminated_length': 61.2, 'completions/max_terminated_length': 240.4, 'rewards/correctness_reward_func/mean': 0.5, 'rewards/correctness_reward_func/std': 0.7527305841445923, 'rewards/format_reward_func/mean': 0.48125, 'rewards/format_reward_func/std': 0.05915650427341461, 'reward': 0.98125, 'reward_std': 0.44590394496917723, 'frac_reward_zero_std': 0.5, 'kl': 0.0007591199231683276, 'entropy': 0.5541228264570236, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.84}
{'loss': 0.0392, 'grad_norm': 0.9750381708145142, 'learning_rate': 2.56e-06, 'num_tokens': 397063.0, 'completions/mean_length': 129.3375, 'completions/min_length': 58.0, 'completions/max_length': 279.8, 'completions/clipped_ratio': 0.0125, 'completions/mean_terminated_length': 124.42000122070313, 'completions/min_terminated_length': 58.0, 'completions/max_terminated_length': 241.8, 'rewards/correctness_reward_func/mean': 0.4, 'rewards/correctness_reward_func/std': 0.8168872237205506, 'rewards/format_reward_func/mean': 0.4625, 'rewards/format_reward_func/std': 0.09946779310703277, 'reward': 0.8625, 'reward_std': 0.6777415037155151, 'frac_reward_zero_std': 0.25, 'kl': 0.0008026458308449946, 'entropy': 0.6718687027692795, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.88}
{'loss': 0.024, 'grad_norm': 0.5562314987182617, 'learning_rate': 1.76e-06, 'num_tokens': 415051.0, 'completions/mean_length': 132.35, 'completions/min_length': 64.4, 'completions/max_length': 244.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 132.35, 'completions/min_terminated_length': 64.4, 'completions/max_terminated_length': 244.8, 'rewards/correctness_reward_func/mean': 0.575, 'rewards/correctness_reward_func/std': 0.8431851267814636, 'rewards/format_reward_func/mean': 0.4875, 'rewards/format_reward_func/std': 0.05, 'reward': 1.0625, 'reward_std': 0.5988739967346192, 'frac_reward_zero_std': 0.4, 'kl': 0.0007769650284899399, 'entropy': 0.5663807705044747, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.92}
{'loss': 0.0075, 'grad_norm': 0.6475401520729065, 'learning_rate': 9.600000000000001e-07, 'num_tokens': 433553.0, 'completions/mean_length': 136.625, 'completions/min_length': 60.6, 'completions/max_length': 290.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 136.625, 'completions/min_terminated_length': 60.6, 'completions/max_terminated_length': 290.2, 'rewards/correctness_reward_func/mean': 0.35, 'rewards/correctness_reward_func/std': 0.6682420492172241, 'rewards/format_reward_func/mean': 0.45625, 'rewards/format_reward_func/std': 0.1433130085468292, 'reward': 0.80625, 'reward_std': 0.5536389708518982, 'frac_reward_zero_std': 0.25, 'kl': 0.0008896621555322781, 'entropy': 0.6249363973736763, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.96}
{'loss': 0.0226, 'grad_norm': 0.6052643656730652, 'learning_rate': 1.6e-07, 'num_tokens': 450509.0, 'completions/mean_length': 116.35, 'completions/min_length': 71.2, 'completions/max_length': 210.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 116.35, 'completions/min_terminated_length': 71.2, 'completions/max_terminated_length': 210.8, 'rewards/correctness_reward_func/mean': 0.325, 'rewards/correctness_reward_func/std': 0.7500086545944213, 'rewards/format_reward_func/mean': 0.4875, 'rewards/format_reward_func/std': 0.05, 'reward': 0.8125, 'reward_std': 0.5059401035308838, 'frac_reward_zero_std': 0.45, 'kl': 0.0008226127072703093, 'entropy': 0.591076546907425, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 1.0}
{'train_runtime': 2071.6429, 'train_samples_per_second': 0.241, 'train_steps_per_second': 0.06, 'train_loss': 0.02475260901451111, 'epoch': 1.0}
Saving GRPO Adapter...
